name,Season,Lg,Tm,G,MP,FG	,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Phoenix Suns,2014-15,NBA,PHO,82,0.6%,1.0%,1.9%,-.004,13.8%,10.2%,+.011,-1.8%,-0.7%,-.006,-5.0%,-4.0%,-.008,2.7%,7.0%,5.8%,4.2%,6.2%,1.5%,1.4%,-4.9%,0.7%
Phoenix Suns,2013-14,NBA,PHO,82,-0.3%,-2.0%,1.0%,-.014,-2.1%,11.5%,-.047,-2.0%,-1.9%,-.000,15.4%,14.0%,+.009,-3.3%,-0.5%,-1.2%,-11.0%,-10.4%,-21.1%,0.0%,15.8%,0.9%
Phoenix Suns,2012-13,NBA,PHO,82,25.0%,27.0%,22.9%,+.015,42.7%,29.4%,+.036,24.0%,21.2%,+.011,27.7%,28.5%,-.004,19.5%,25.9%,24.1%,32.1%,30.0%,46.2%,35.4%,16.9%,28.1%
Phoenix Suns,2011-12,NBA,PHO,66,-20.8%,-24.3%,-21.5%,-.017,-32.0%,-29.1%,-.015,-22.7%,-19.3%,-.021,-25.7%,-26.5%,+.008,-18.6%,-22.0%,-21.1%,-25.1%,-18.3%,-19.1%,-21.9%,-25.7%,-25.1%
Phoenix Suns,2010-11,NBA,PHO,82,1.4%,2.3%,-2.1%,+.020,4.3%,0.8%,+.012,1.9%,-2.9%,+.023,-7.8%,-7.1%,-.006,-8.9%,10.7%,4.6%,10.9%,-0.3%,-2.5%,11.6%,-2.7%,0.5%
Phoenix Suns,2009-10,NBA,PHO,82,-0.1%,-1.3%,2.0%,-.015,-10.4%,-3.2%,-.028,0.8%,3.6%,-.013,-1.7%,0.3%,-.015,8.9%,1.7%,3.8%,-2.1%,-8.5%,-1.1%,-8.6%,-4.7%,-2.0%
Philadelphia 76ers,2020-21,NBA,PHI,72,-0.9%,-2.4%,-0.3%,-.010,12.9%,10.7%,+.007,-7.8%,-6.0%,-.010,-6.6%,-8.2%,+.013,11.8%,-1.6%,1.2%,2.0%,2.2%,13.9%,11.2%,1.1%,-1.6%
Philadelphia 76ers,2019-20,NBA,PHI,73,-11.2%,-15.0%,-16.4%,+.008,-10.0%,-12.8%,+.011,-16.7%,-18.1%,+.009,-13.2%,-11.2%,-.017,-23.7%,-11.6%,-14.4%,-13.4%,-19.6%,-12.5%,-3.4%,-17.8%,-14.2%
Philadelphia 76ers,2018-19,NBA,PHI,82,0.1%,9.6%,4.5%,+.021,1.7%,1.5%,+.001,12.4%,6.0%,+.029,-1.3%,-4.3%,+.023,0.6%,3.9%,3.1%,7.6%,-9.0%,-19.4%,-10.9%,8.7%,6.8%
Philadelphia 76ers,2017-18,NBA,PHI,82,-0.3%,-3.8%,2.0%,-.026,13.7%,18.7%,-.015,-8.9%,-4.8%,-.022,-5.1%,-1.5%,-.028,-7.7%,-5.7%,-6.2%,-4.1%,-1.0%,-6.5%,-5.5%,3.7%,-2.6%
Philadelphia 76ers,2016-17,NBA,PHI,82,0.1%,-0.3%,0.5%,-.004,14.3%,15.1%,-.003,-3.8%,-4.4%,+.003,-2.0%,-0.3%,-.013,-3.0%,-6.2%,-5.4%,-3.1%,-1.0%,-4.3%,0.0%,2.5%,0.5%
Philadelphia 76ers,2015-16,NBA,PHI,82,0.0%,6.8%,3.2%,+.016,-3.0%,-5.5%,+.009,9.6%,6.6%,+.014,10.0%,5.8%,+.030,-2.9%,4.7%,2.8%,-1.2%,-8.7%,2.6%,-9.7%,-5.2%,6.6%
Philadelphia 76ers,2014-15,NBA,PHI,82,-0.3%,-7.3%,-2.7%,-.022,-11.0%,-6.0%,-.020,-6.2%,-1.4%,-.025,-10.3%,-10.5%,+.002,-3.7%,-0.6%,-1.4%,-9.4%,5.8%,-18.6%,-1.2%,-1.7%,-8.1%
Philadelphia 76ers,2013-14,NBA,PHI,82,0.5%,8.8%,5.0%,+.017,34.6%,26.9%,+.021,3.1%,-1.8%,+.024,28.1%,29.1%,-.006,8.1%,6.2%,6.7%,14.7%,24.7%,40.9%,18.4%,26.7%,13.9%
Philadelphia 76ers,2012-13,NBA,PHI,82,24.1%,33.3%,25.3%,+.027,53.8%,47.1%,+.015,29.5%,19.8%,+.037,30.9%,29.6%,+.007,27.9%,24.0%,24.9%,44.6%,50.9%,25.3%,28.0%,24.4%,34.1%
Philadelphia 76ers,2011-12,NBA,PHI,66,-20.1%,-24.5%,-20.1%,-.025,-23.7%,-22.2%,-.007,-24.6%,-19.6%,-.030,-33.8%,-32.0%,-.021,-19.9%,-16.4%,-17.3%,-26.6%,-32.9%,-16.0%,-21.4%,-30.7%,-26.2%
Philadelphia 76ers,2010-11,NBA,PHI,82,0.6%,-3.5%,1.0%,-.021,-22.8%,-10.8%,-.053,1.2%,4.6%,-.016,1.2%,0.2%,+.008,-0.8%,5.6%,3.9%,-2.7%,-6.1%,13.3%,-1.8%,0.7%,-4.1%
Philadelphia 76ers,2009-10,NBA,PHI,82,0.3%,3.6%,1.3%,+.011,3.6%,-3.3%,+.026,3.6%,2.8%,+.004,8.3%,10.7%,-.017,-5.0%,8.1%,4.3%,0.6%,8.0%,-17.0%,-7.0%,-14.1%,4.4%
Orlando Magic,2020-21,NBA,ORL,72,-1.4%,3.1%,1.8%,+.006,10.5%,8.0%,+.009,-0.2%,-2.1%,+.010,-1.9%,-3.8%,+.015,6.7%,3.4%,4.1%,3.9%,7.2%,13.6%,-13.9%,-5.4%,3.2%
Orlando Magic,2019-20,NBA,ORL,73,-11.2%,-9.9%,-11.7%,+.009,4.1%,-0.9%,+.017,-14.9%,-17.4%,+.016,-16.6%,-15.8%,-.007,-10.7%,-10.5%,-10.5%,-4.7%,-11.1%,-6.6%,0.1%,-7.6%,-9.6%
Orlando Magic,2018-19,NBA,ORL,82,0.3%,-2.4%,0.1%,-.012,4.8%,9.5%,-.016,-4.7%,-4.2%,-.003,-0.7%,-1.4%,+.006,-14.9%,1.0%,-2.6%,-5.3%,-10.0%,-10.0%,-8.7%,-1.2%,-1.5%
Orlando Magic,2017-18,NBA,ORL,82,-0.4%,1.5%,1.3%,+.001,3.1%,4.6%,-.005,1.0%,-0.1%,+.006,-5.6%,-6.4%,+.006,8.6%,-1.4%,0.7%,3.2%,2.7%,-4.1%,9.1%,1.6%,0.5%
Orlando Magic,2016-17,NBA,ORL,82,-0.5%,4.9%,3.4%,+.007,8.5%,5.9%,+.009,3.8%,2.3%,+.007,-3.1%,-5.6%,+.020,-4.0%,4.8%,2.8%,1.9%,0.3%,-6.5%,-13.8%,2.3%,3.8%
Orlando Magic,2015-16,NBA,ORL,82,0.8%,1.2%,1.9%,-.003,7.3%,10.1%,-.009,-0.5%,-1.2%,+.004,4.3%,5.0%,-.005,0.8%,2.2%,1.9%,-1.1%,-2.4%,1.6%,4.6%,2.0%,2.2%
Orlando Magic,2014-15,NBA,ORL,82,-1.0%,-0.4%,-2.1%,+.007,3.5%,4.2%,-.003,-1.5%,-4.2%,+.014,-2.7%,-0.2%,-.020,-4.0%,-0.3%,-1.1%,4.0%,9.3%,-0.9%,3.4%,-2.2%,-0.5%
Orlando Magic,2013-14,NBA,ORL,82,0.9%,-1.4%,0.3%,-.008,6.8%,3.3%,+.012,-3.3%,-0.7%,-.013,8.5%,3.9%,+.033,-3.3%,4.9%,2.8%,-5.0%,-1.9%,3.5%,12.4%,10.9%,0.8%
Orlando Magic,2012-13,NBA,ORL,82,23.9%,33.6%,29.4%,+.015,49.0%,44.4%,+.011,30.3%,25.1%,+.020,32.9%,39.1%,-.034,33.1%,27.0%,28.5%,44.1%,19.6%,57.5%,17.6%,3.4%,34.5%
Orlando Magic,2011-12,NBA,ORL,66,-19.5%,-17.2%,-19.5%,+.013,-19.8%,-19.2%,-.002,-16.6%,-19.6%,+.017,-30.3%,-32.9%,+.029,-17.1%,-15.9%,-16.2%,-18.0%,-18.3%,-11.9%,-23.7%,-27.0%,-19.8%
Orlando Magic,2010-11,NBA,ORL,82,0.5%,-3.0%,-2.5%,-.002,-1.1%,2.7%,-.014,-3.5%,-3.9%,+.002,4.4%,6.0%,-.011,0.6%,-1.2%,-0.8%,6.2%,10.0%,7.6%,8.2%,-1.5%,-1.6%
Orlando Magic,2009-10,NBA,ORL,82,0.0%,0.6%,-0.7%,+.006,17.6%,10.8%,+.021,-2.4%,-3.4%,+.005,-2.9%,-2.8%,-.001,-7.4%,-4.2%,-5.0%,4.2%,-2.3%,-6.5%,-2.1%,-1.1%,1.0%
Oklahoma City Thunder,2020-21,NBA,OKC,72,-0.4%,6.3%,2.3%,+.018,20.1%,12.2%,+.024,1.0%,-3.5%,+.025,-1.5%,1.3%,-.022,-3.3%,7.7%,5.1%,12.1%,28.1%,30.3%,-8.0%,-18.6%,6.6%
Oklahoma City Thunder,2019-20,NBA,OKC,72,-12.2%,-12.1%,-11.2%,-.005,-11.7%,-7.6%,-.016,-12.3%,-13.3%,+.006,-25.4%,-28.6%,+.034,-7.0%,-15.8%,-13.9%,-18.8%,-24.9%,-30.1%,-25.4%,-11.0%,-14.3%
Oklahoma City Thunder,2018-19,NBA,OKC,82,0.1%,5.9%,5.6%,+.001,0.2%,3.4%,-.011,8.3%,6.9%,+.007,12.6%,13.7%,-.008,3.8%,9.7%,8.4%,6.7%,6.7%,10.1%,4.3%,5.4%,6.4%
Oklahoma City Thunder,2017-18,NBA,OKC,82,0.1%,-1.8%,-1.6%,-.001,27.1%,23.1%,+.011,-10.2%,-11.8%,+.009,-12.7%,-13.2%,+.005,4.1%,3.6%,3.7%,8.7%,-9.7%,-16.2%,16.5%,3.1%,-1.3%
Oklahoma City Thunder,2016-17,NBA,OKC,82,-0.1%,2.1%,-2.7%,+.021,8.5%,4.5%,+.013,0.3%,-5.4%,+.028,3.5%,2.4%,+.008,-18.7%,8.8%,1.1%,-0.5%,-2.9%,20.6%,5.7%,2.7%,2.8%
Oklahoma City Thunder,2015-16,NBA,OKC,82,0.0%,2.1%,2.6%,-.002,-2.1%,-1.8%,-.001,3.3%,4.4%,-.005,-1.3%,-2.7%,+.011,0.7%,-8.3%,-5.9%,-2.6%,12.0%,-1.1%,-4.5%,-1.3%,1.2%
Oklahoma City Thunder,2014-15,NBA,OKC,82,0.1%,3.4%,2.4%,+.004,-3.4%,0.8%,-.015,5.5%,3.1%,+.011,-1.2%,-3.6%,+.018,1.9%,5.3%,4.4%,1.7%,-4.0%,27.4%,-10.4%,0.2%,2.0%
Oklahoma City Thunder,2013-14,NBA,OKC,82,-0.1%,0.6%,-1.9%,+.011,15.6%,11.8%,+.012,-3.3%,-6.5%,+.015,10.2%,17.3%,-.047,-8.8%,4.5%,0.6%,6.2%,-0.6%,-8.1%,3.0%,-1.5%,3.4%
Oklahoma City Thunder,2012-13,NBA,OKC,82,24.0%,23.3%,23.9%,-.002,44.9%,43.1%,+.004,18.8%,18.5%,+.001,17.6%,16.7%,+.006,18.2%,24.4%,22.5%,28.1%,24.2%,0.3%,29.3%,28.4%,23.7%
Oklahoma City Thunder,2011-12,NBA,OKC,66,-20.1%,-23.0%,-17.5%,-.030,-12.7%,-7.8%,-.019,-24.9%,-19.9%,-.030,-25.0%,-27.4%,+.024,-10.4%,-21.1%,-18.1%,-23.4%,-7.7%,-9.8%,-18.7%,-25.2%,-22.8%
Oklahoma City Thunder,2010-11,NBA,OKC,82,1.0%,3.9%,1.6%,+.010,0.2%,-5.6%,+.021,4.6%,3.5%,+.005,1.0%,3.7%,-.020,-0.5%,-0.1%,-0.2%,5.8%,-4.7%,-7.3%,-6.9%,0.7%,3.1%
Oklahoma City Thunder,2009-10,NBA,OKC,82,0.0%,-6.9%,-1.2%,-.027,-8.2%,-1.7%,-.024,-6.7%,-1.0%,-.029,5.0%,4.6%,+.003,6.0%,-4.0%,-1.4%,-8.5%,-11.6%,-5.7%,8.6%,6.0%,-4.9%
New York Knicks,2020-21,NBA,NYK,72,9.2%,3.8%,9.4%,-.024,-1.5%,11.4%,-.044,6.4%,8.0%,-.008,-4.3%,-5.8%,+.012,10.0%,8.5%,8.8%,5.7%,-0.4%,17.4%,1.2%,-1.5%,1.8%
New York Knicks,2019-20,NBA,NYK,66,-19.3%,-23.4%,-22.8%,-.004,-9.5%,-13.8%,+.018,-28.8%,-27.9%,-.007,-14.9%,-12.9%,-.018,-28.3%,-24.3%,-25.2%,-23.5%,-21.9%,-27.3%,-16.3%,-23.6%,-20.6%
New York Knicks,2018-19,NBA,NYK,82,-0.3%,6.2%,3.9%,+.010,5.7%,7.2%,-.005,6.4%,2.1%,+.022,1.2%,2.2%,-.007,5.1%,11.6%,10.1%,6.8%,-9.4%,17.7%,-1.1%,13.2%,5.3%
New York Knicks,2017-18,NBA,NYK,82,-0.1%,-0.8%,-1.2%,+.002,13.8%,7.8%,+.019,-5.6%,-5.5%,-.001,-3.8%,-4.1%,+.003,-12.1%,-0.5%,-3.5%,10.0%,8.9%,3.2%,3.4%,-0.5%,0.0%
New York Knicks,2016-17,NBA,NYK,82,0.3%,4.7%,1.8%,+.012,28.8%,25.8%,+.008,-1.4%,-6.7%,+.027,6.8%,4.4%,+.017,7.1%,-0.7%,1.2%,4.9%,4.4%,9.9%,14.3%,-0.3%,6.9%
New York Knicks,2015-16,NBA,NYK,82,-0.3%,2.7%,6.7%,-.017,-9.8%,0.7%,-.040,6.5%,9.0%,-.012,-7.0%,-6.3%,-.006,-0.9%,2.4%,1.6%,-4.5%,-10.6%,-2.8%,-19.6%,-2.8%,-0.1%
New York Knicks,2014-15,NBA,NYK,82,0.0%,3.3%,3.0%,+.001,-2.7%,-5.0%,+.009,5.2%,6.4%,-.006,-1.6%,-0.9%,-.006,6.5%,2.7%,3.6%,10.2%,28.5%,27.4%,-3.4%,-2.9%,1.8%
New York Knicks,2013-14,NBA,NYK,82,0.6%,0.6%,0.6%,+.000,11.6%,7.4%,+.014,-2.5%,-2.1%,-.002,13.8%,12.6%,+.008,2.3%,0.3%,0.8%,2.4%,-1.9%,-15.3%,-3.9%,2.2%,3.8%
New York Knicks,2012-13,NBA,NYK,82,23.8%,25.9%,21.5%,+.016,43.9%,44.5%,-.001,21.6%,14.4%,+.030,17.7%,14.5%,+.020,14.9%,26.7%,23.6%,26.6%,-2.4%,-2.1%,10.4%,9.7%,25.6%
New York Knicks,2011-12,NBA,NYK,66,-19.4%,-28.6%,-23.8%,-.030,-17.2%,-14.1%,-.013,-30.8%,-26.3%,-.031,-29.0%,-26.6%,-.026,-25.6%,-22.7%,-23.5%,-25.8%,-8.5%,-7.2%,-10.0%,-15.6%,-27.9%
New York Knicks,2010-11,NBA,NYK,82,-0.5%,-3.3%,-0.5%,-.014,-3.1%,-8.2%,+.020,-3.3%,1.8%,-.027,15.5%,14.2%,+.008,0.5%,-2.9%,-2.0%,-2.4%,0.2%,-2.2%,5.8%,8.1%,-0.2%
New York Knicks,2009-10,NBA,NYK,82,0.4%,-0.8%,-2.0%,+.006,-3.2%,-3.3%,+.001,-0.3%,-1.6%,+.007,-5.6%,-5.1%,-.004,0.5%,-3.6%,-2.6%,-2.9%,-10.6%,-15.8%,-0.5%,-1.0%,-1.8%
New Orleans Pelicans,2020-21,NBA,NOP,72,0.0%,-2.0%,-2.7%,+.004,18.5%,12.6%,+.019,-10.2%,-11.7%,+.009,-14.5%,-14.6%,+.001,-11.4%,-5.4%,-6.8%,5.8%,-9.8%,22.4%,-8.0%,1.0%,-1.9%
New Orleans Pelicans,2019-20,NBA,NOP,72,-11.8%,-13.3%,-13.1%,-.001,-12.5%,-11.9%,-.003,-13.6%,-13.9%,+.002,-4.8%,-7.8%,+.025,-19.0%,-12.4%,-14.0%,-18.9%,-12.4%,-21.8%,-6.1%,-11.8%,-11.9%
New Orleans Pelicans,2018-19,NBA,NOP,82,-1.0%,3.7%,0.9%,+.012,12.9%,10.2%,+.009,0.4%,-3.7%,+.022,11.7%,14.7%,-.021,1.2%,0.4%,0.6%,11.7%,4.8%,29.4%,-6.2%,3.2%,5.8%
New Orleans Pelicans,2017-18,NBA,NOP,82,0.3%,4.2%,3.3%,+.004,3.2%,2.6%,+.002,4.5%,3.6%,+.004,1.9%,-1.1%,+.022,1.7%,-8.0%,-5.9%,1.4%,11.1%,-1.1%,3.7%,5.6%,3.7%
New Orleans Pelicans,2016-17,NBA,NOP,82,0.6%,2.1%,6.1%,-.018,14.5%,19.7%,-.016,-1.7%,0.4%,-.011,-16.3%,-13.9%,-.021,19.5%,6.1%,8.8%,1.2%,0.2%,-17.7%,1.5%,-3.0%,-0.1%
New Orleans Pelicans,2015-16,NBA,NOP,82,0.0%,3.5%,0.9%,+.012,40.4%,27.3%,+.034,-4.2%,-7.2%,+.016,16.2%,12.6%,+.024,-16.1%,14.8%,6.9%,11.7%,8.5%,-10.9%,12.4%,6.3%,8.1%
New Orleans Pelicans,2014-15,NBA,NOP,82,-0.4%,1.7%,3.8%,-.009,-17.6%,-12.2%,-.022,7.0%,9.9%,-.013,-18.8%,-19.5%,+.007,-1.2%,-0.0%,-0.4%,-7.9%,-3.8%,-5.8%,-15.4%,-7.9%,-3.8%
New Orleans Pelicans,2013-14,NBA,NOP,82,0.4%,0.8%,2.1%,-.006,3.2%,8.2%,-.018,0.2%,-0.1%,+.002,22.3%,23.4%,-.007,5.5%,6.1%,6.0%,-3.7%,-11.0%,2.4%,9.1%,8.5%,4.6%
New Orleans Pelicans,2012-13,NBA,NOH,82,24.1%,31.5%,24.0%,+.027,48.7%,25.8%,+.058,27.6%,23.4%,+.016,18.6%,18.6%,-.000,14.2%,25.2%,22.2%,38.9%,23.9%,29.5%,18.7%,24.2%,30.3%
New Orleans Pelicans,2011-12,NBA,NOH,66,-19.6%,-20.0%,-17.7%,-.013,-23.7%,-14.1%,-.040,-19.1%,-18.9%,-.001,-18.8%,-17.6%,-.011,-4.9%,-22.3%,-18.1%,-20.7%,5.2%,-4.0%,-23.2%,-26.2%,-20.1%
New Orleans Pelicans,2010-11,NBA,NOH,82,0.0%,-11.3%,-6.3%,-.026,3.3%,3.0%,+.001,-14.2%,-9.0%,-.030,0.5%,-2.0%,+.019,-11.6%,-5.0%,-6.7%,-9.7%,-13.4%,7.9%,1.3%,4.8%,-8.4%
New Orleans Pelicans,2009-10,NBA,NOH,82,0.4%,14.0%,6.3%,+.032,-6.3%,-6.6%,+.001,19.1%,10.8%,+.036,-4.8%,-2.0%,-.022,5.8%,5.2%,5.3%,16.7%,20.6%,26.6%,8.1%,-4.7%,9.0%
Minnesota Timberwolves,2020-21,NBA,MIN,72,11.9%,12.2%,11.1%,+.005,27.7%,18.2%,+.029,6.6%,7.2%,-.003,5.5%,5.1%,+.003,11.0%,8.2%,8.8%,23.8%,10.2%,12.1%,11.1%,3.5%,12.6%
Minnesota Timberwolves,2019-20,NBA,MIN,64,-21.5%,-20.0%,-21.7%,+.010,-28.9%,-25.9%,-.016,-16.2%,-19.2%,+.019,-9.9%,-11.7%,+.016,-29.8%,-15.6%,-19.0%,-27.3%,-7.4%,-22.0%,-17.9%,-23.0%,-19.5%
Minnesota Timberwolves,2018-19,NBA,MIN,82,0.1%,4.7%,6.4%,-.008,17.0%,13.2%,+.012,0.1%,2.7%,-.014,6.9%,8.6%,-.012,14.7%,7.5%,9.2%,9.3%,1.9%,19.1%,-2.4%,4.9%,6.2%
Minnesota Timberwolves,2017-18,NBA,MIN,82,0.0%,1.6%,1.7%,-.000,9.7%,9.9%,-.000,-1.1%,-2.3%,+.006,-9.3%,-10.5%,+.011,-0.4%,4.7%,3.5%,3.5%,-15.9%,-7.5%,6.0%,1.8%,0.6%
Minnesota Timberwolves,2016-17,NBA,MIN,82,-0.4%,-0.9%,-1.9%,+.005,9.3%,5.9%,+.011,-3.9%,-5.3%,+.008,3.7%,2.1%,+.011,-8.1%,-2.0%,-3.5%,2.1%,-1.4%,-3.3%,-4.2%,-4.9%,0.7%
Minnesota Timberwolves,2015-16,NBA,MIN,82,0.4%,-2.9%,0.4%,-.016,6.5%,10.1%,-.012,-5.3%,-3.2%,-.011,7.7%,8.1%,-.003,-8.0%,-2.3%,-3.8%,-3.9%,-7.0%,-4.9%,-1.9%,1.0%,-0.6%
Minnesota Timberwolves,2014-15,NBA,MIN,82,-0.3%,1.6%,-1.6%,+.015,5.1%,4.2%,+.003,0.7%,-3.7%,+.023,4.0%,3.6%,+.003,5.0%,-3.6%,-1.5%,3.1%,6.5%,-1.8%,-7.7%,-9.6%,2.2%
Minnesota Timberwolves,2013-14,NBA,MIN,82,0.6%,6.7%,5.9%,+.004,15.1%,16.7%,-.005,4.8%,2.6%,+.011,0.1%,-0.4%,+.004,4.2%,5.2%,5.0%,2.3%,-2.6%,-5.0%,3.4%,4.8%,6.3%
Minnesota Timberwolves,2012-13,NBA,MIN,82,23.8%,21.0%,17.7%,+.013,41.9%,30.5%,+.030,17.1%,14.3%,+.012,17.4%,17.8%,-.003,13.0%,23.2%,20.5%,28.8%,20.4%,27.6%,48.8%,28.7%,21.7%
Minnesota Timberwolves,2011-12,NBA,MIN,66,-19.4%,-20.4%,-18.1%,-.013,-36.5%,-30.0%,-.035,-16.4%,-14.1%,-.013,-38.9%,-37.0%,-.023,-15.6%,-18.7%,-17.9%,-30.0%,-29.3%,-15.7%,-26.0%,-16.4%,-25.2%
Minnesota Timberwolves,2010-11,NBA,MIN,82,0.0%,-3.4%,-0.8%,-.012,3.4%,1.0%,+.009,-4.9%,-1.4%,-.018,13.0%,12.4%,+.004,-0.4%,-2.4%,-1.9%,-3.4%,7.8%,1.1%,0.9%,1.8%,-0.1%
Minnesota Timberwolves,2009-10,NBA,MIN,82,-0.1%,7.5%,6.1%,+.006,15.3%,19.0%,-.012,5.9%,2.5%,+.016,-8.0%,-7.6%,-.003,12.8%,4.0%,6.1%,19.2%,18.2%,-8.7%,14.1%,2.7%,4.9%
Milwaukee Bucks,2020-21,NBA,MIL,72,-1.5%,7.4%,-2.5%,+.042,4.7%,-3.2%,+.029,8.8%,-2.0%,+.051,-13.8%,-13.0%,-.007,0.0%,-8.1%,-6.5%,2.3%,-5.8%,6.7%,-8.1%,-16.8%,3.8%
Milwaukee Bucks,2019-20,NBA,MIL,73,-11.0%,-14.4%,-10.5%,-.019,-4.9%,-3.5%,-.005,-18.9%,-15.0%,-.022,-1.7%,-8.4%,+.054,-14.8%,-8.6%,-10.0%,-13.1%,-3.4%,-17.5%,-6.0%,-4.1%,-11.5%
Milwaukee Bucks,2018-19,NBA,MIL,82,-0.3%,3.5%,11.7%,-.034,29.4%,33.7%,-.012,-5.5%,1.2%,-.034,-17.7%,-12.0%,-.050,-0.5%,8.0%,6.1%,4.7%,-4.8%,7.9%,-14.3%,1.2%,2.3%
Milwaukee Bucks,2017-18,NBA,MIL,82,0.3%,3.0%,0.9%,+.009,1.6%,-3.7%,+.019,3.5%,3.3%,+.001,3.1%,1.4%,+.013,-3.3%,1.9%,0.6%,-1.8%,-3.9%,-2.4%,6.1%,3.4%,2.9%
Milwaukee Bucks,2016-17,NBA,MIL,82,-0.3%,0.6%,-0.2%,+.004,6.7%,6.5%,+.001,-1.4%,-3.4%,+.010,-2.8%,-3.1%,+.003,-10.3%,2.1%,-1.2%,-1.9%,-10.3%,-18.8%,-5.0%,-1.3%,0.6%
Milwaukee Bucks,2015-16,NBA,MIL,82,-0.5%,6.2%,2.0%,+.018,13.2%,10.0%,+.010,4.1%,-1.3%,+.026,1.9%,-1.6%,+.026,0.4%,0.3%,0.3%,9.9%,-4.1%,17.9%,-10.9%,-3.0%,6.0%
Milwaukee Bucks,2014-15,NBA,MIL,82,0.3%,-7.3%,-0.6%,-.031,-3.0%,8.1%,-.039,-8.5%,-3.9%,-.024,-2.2%,-0.9%,-.010,-2.4%,-1.2%,-1.5%,-2.1%,10.6%,-5.1%,23.1%,-2.4%,-6.0%
Milwaukee Bucks,2013-14,NBA,MIL,82,0.3%,-0.2%,-3.2%,+.014,31.8%,20.2%,+.033,-6.6%,-9.8%,+.017,8.1%,9.2%,-.008,-5.7%,-5.4%,-5.5%,-1.2%,-2.7%,14.1%,-11.6%,7.8%,3.3%
Milwaukee Bucks,2012-13,NBA,MIL,82,25.0%,28.7%,27.4%,+.005,20.8%,21.8%,-.003,30.4%,29.0%,+.005,18.4%,19.9%,-.010,25.3%,29.0%,28.0%,32.1%,31.9%,21.9%,24.9%,22.6%,26.3%
Milwaukee Bucks,2011-12,NBA,MIL,66,-20.0%,-13.6%,-14.0%,+.002,0.2%,-4.7%,+.017,-16.1%,-16.4%,+.002,-21.2%,-21.1%,-.000,-2.8%,-18.7%,-14.8%,-13.5%,-1.6%,-24.2%,-15.7%,-24.6%,-14.3%
Milwaukee Bucks,2010-11,NBA,MIL,82,-0.8%,-1.3%,-0.3%,-.004,-0.2%,2.6%,-.009,-1.4%,-1.0%,-.002,-11.5%,-12.0%,+.005,5.8%,-3.4%,-1.3%,4.8%,-11.5%,-6.9%,-0.7%,1.8%,-3.4%
